 ;  M̩todo da Euclides  ;  ; 
n ; p ; q ; tempo (ms)
866423017 ; 8273 ; 104729 ; 239
3465918073 ; 16547 ; 209459 ; 672
13869217547 ; 33107 ; 418921 ; 1889
55483066187 ; 66221 ; 837847 ; 5328
221977905893 ; 132469 ; 1675697 ; 15009
887955112631 ; 264949 ; 3351419 ; 42542
3552016422607 ; 529927 ; 6702841 ; 121632
14208111206759 ; 1059857 ; 13405687 ; 343062
56832582493517 ; 2119717 ; 26811401 ; 971104
227331223344527 ; 4239449 ; 53622823 ; 2745535
909326053603783 ; 8478907 ; 107245669 ; 7768373
3637310700952739 ; 16957841 ; 214491379 ; 21957590
14549251938038687 ; 33915701 ; 428982787 ; 62075613
58197015318036173 ; 67831409 ; 857965597 ; 175457184
232788077122513919 ; 135662827 ; 1715931197 ; 516681561
