 ;  M̩todo de Fermat  ;  ; 
n ; p ; q ; tempo (ms)
1005587985804223 ; 122238373 ; 8226451 ; 7481
1005594083588099 ; 122238401 ; 8226499 ; 7483
1005594737071763 ; 122238421 ; 8226503 ; 7484
1005595569220397 ; 122238433 ; 8226509 ; 7489
1005598046895173 ; 122238437 ; 8226529 ; 7815
1005599285732621 ; 122238439 ; 8226539 ; 7864
1005599727646483 ; 122238463 ; 8226541 ; 7869
1005601342585993 ; 122238481 ; 8226553 ; 7873
1005604457294231 ; 122238503 ; 8226577 ; 7880
1005605338803743 ; 122238521 ; 8226583 ; 7886
1005606709267627 ; 122238539 ; 8226593 ; 7890
1005607886935207 ; 122238593 ; 8226599 ; 7905
1005609419611211 ; 122238601 ; 8226611 ; 7915
1005611669265803 ; 122238607 ; 8226629 ; 7919
1005613074959783 ; 122238659 ; 8226637 ; 7916
1005613629727547 ; 122238667 ; 8226641 ; 7919
1005614706356671 ; 122238679 ; 8226649 ; 7928
1005615277577917 ; 122238689 ; 8226653 ; 7932
1005620771253991 ; 122238703 ; 8226697 ; 7940
1005623855387969 ; 122238751 ; 8226719 ; 7945
1005625420973753 ; 122238763 ; 8226731 ; 7949
1005625714811677 ; 122238769 ; 8226733 ; 7954
1005629903836891 ; 122238773 ; 8226767 ; 7955
1005630296396279 ; 122238791 ; 8226769 ; 7960
1005631927797391 ; 122238811 ; 8226781 ; 7965
1005635432752189 ; 122238821 ; 8226809 ; 7975
1005637113515387 ; 122238847 ; 8226821 ; 7982
1005641760919589 ; 122238877 ; 8226857 ; 7996
1005646927860019 ; 122238881 ; 8226899 ; 8060
1005652127708549 ; 122238889 ; 8226941 ; 8065
1005652943411353 ; 122238899 ; 8226947 ; 8071
1005653286612539 ; 122238911 ; 8226949 ; 8082
1005656074592233 ; 122238923 ; 8226971 ; 8067
1005656681056891 ; 122238967 ; 8226973 ; 8070
1005658735604231 ; 122238979 ; 8226989 ; 8075
1005659161075991 ; 122239001 ; 8226991 ; 8075
1005660644398009 ; 122239003 ; 8227003 ; 8080
1005661511796343 ; 122239049 ; 8227007 ; 8086
1005664805190079 ; 122239063 ; 8227033 ; 8094
1005666810377381 ; 122239069 ; 8227049 ; 8121
1005669158767829 ; 122239087 ; 8227067 ; 8103
1005669452608417 ; 122239093 ; 8227069 ; 8103
1005670968840019 ; 122239099 ; 8227081 ; 8105
1005672372227011 ; 122239121 ; 8227091 ; 8115
1005674299814231 ; 122239177 ; 8227103 ; 8119
1005676257976219 ; 122239207 ; 8227117 ; 8118
1005677513276797 ; 122239211 ; 8227127 ; 8139
1005681638837683 ; 122239237 ; 8227159 ; 8129
1005685635102353 ; 122239277 ; 8227189 ; 8131
1005687884772581 ; 122239283 ; 8227207 ; 8123
1005689172983147 ; 122239291 ; 8227217 ; 8130
1005690722126929 ; 122239301 ; 8227229 ; 8139
1005692045585291 ; 122239343 ; 8227237 ; 8155
1005694981668607 ; 122239373 ; 8227259 ; 8175
1005696808201651 ; 122239387 ; 8227273 ; 8190
1005697591001647 ; 122239393 ; 8227279 ; 8178
1005699288238511 ; 122239421 ; 8227291 ; 8174
1005701801185831 ; 122239459 ; 8227309 ; 8130
1005703498424327 ; 122239487 ; 8227321 ; 8152
1005705797463161 ; 122239499 ; 8227339 ; 8183
1005708879303671 ; 122239517 ; 8227363 ; 8202
1005710933864491 ; 122239529 ; 8227379 ; 8221
1005711441619741 ; 122239561 ; 8227381 ; 8200
1005712894382299 ; 122239589 ; 8227391 ; 8208
1005713155316263 ; 122239591 ; 8227393 ; 8212
1005714525805427 ; 122239609 ; 8227403 ; 8235
1005715536631943 ; 122239613 ; 8227411 ; 8282
1005716808392599 ; 122239619 ; 8227421 ; 8279
1005717118691221 ; 122239627 ; 8227423 ; 8256
1005721166687053 ; 122239703 ; 8227451 ; 8268
1005723416366521 ; 122239709 ; 8227469 ; 8250
1005724460104009 ; 122239717 ; 8227477 ; 8241
1005725962235737 ; 122239751 ; 8227487 ; 8224
1005726272535151 ; 122239759 ; 8227489 ; 8225
1005727821687269 ; 122239769 ; 8227501 ; 8229
1005733461171737 ; 122239771 ; 8227547 ; 8235
1005734540167589 ; 122239813 ; 8227553 ; 8238
1005735471067883 ; 122239837 ; 8227559 ; 8228
1005737264701331 ; 122239847 ; 8227573 ; 8227
1005739514384123 ; 122239853 ; 8227591 ; 8253
1005740802603461 ; 122239861 ; 8227601 ; 8272
1005741585408269 ; 122239867 ; 8227607 ; 8271
1005743428408343 ; 122239883 ; 8227621 ; 8292
1005744961108003 ; 122239891 ; 8227633 ; 8304
1005747410605199 ; 122239951 ; 8227649 ; 8300
1005747786727517 ; 122239967 ; 8227651 ; 8324
1005748635354517 ; 122239981 ; 8227657 ; 8278
1005750184510979 ; 122239991 ; 8227669 ; 8280
1005750838024403 ; 122240011 ; 8227673 ; 8256
1005753137076893 ; 122240023 ; 8227691 ; 8300
1005753919883213 ; 122240029 ; 8227697 ; 8280
1005754246640261 ; 122240039 ; 8227699 ; 8301
1005758226495133 ; 122240077 ; 8227729 ; 8296
1005761456456089 ; 122240113 ; 8227753 ; 8270
1005762387362983 ; 122240137 ; 8227759 ; 8252
1005765015529853 ; 122240189 ; 8227777 ; 8225
1005765570312857 ; 122240197 ; 8227781 ; 8199
1005766336665187 ; 122240201 ; 8227787 ; 8215
1005766679879057 ; 122240213 ; 8227789 ; 8192
1005767968103579 ; 122240221 ; 8227799 ; 8212
